片段名称,排名,关键词,词频数量,词频百分比(%)
《方山大鼓：象王行》,1,发来,9274,19.85
《方山大鼓：象王行》,2,大学,2311,4.95
《方山大鼓：象王行》,3,学院,2274,4.87
《方山大鼓：象王行》,4,职业,870,1.86
《方山大鼓：象王行》,5,新年快乐,814,1.74
《方山大鼓：象王行》,6,祝,781,1.67
《方山大鼓：象王行》,7,技术,634,1.36
《方山大鼓：象王行》,8,科技,568,1.22
《方山大鼓：象王行》,9,好,518,1.11
《方山大鼓：象王行》,10,大家,408,0.87
《方山大鼓：象王行》,11,全国,366,0.78
《方山大鼓：象王行》,12,师范大学,352,0.75
《方山大鼓：象王行》,13,同学,317,0.68
《方山大鼓：象王行》,14,理工大学,315,0.67
《方山大鼓：象王行》,15,师范学院,309,0.66
《方山大鼓：象王行》,16,手语,292,0.63
《方山大鼓：象王行》,17,工业,260,0.56
《方山大鼓：象王行》,18,哈哈哈哈,240,0.51
《方山大鼓：象王行》,19,医科大学,215,0.46
《方山大鼓：象王行》,20,留子,213,0.46
《武术》,1,发来,1627,4.24
《武术》,2,好,847,2.21
《武术》,3,哈哈哈哈,702,1.83
《武术》,4,啊啊啊,571,1.49
《武术》,5,红色,433,1.13
《武术》,6,大学,432,1.13
《武术》,7,好听,427,1.11
《武术》,8,克拉,404,1.05
《武术》,9,好帅,379,0.99
《武术》,10,学院,356,0.93
《武术》,11,厉害,326,0.85
《武术》,12,有,325,0.85
《武术》,13,牛,316,0.82
《武术》,14,帅,251,0.65
《武术》,15,太,239,0.62
《武术》,16,哇,236,0.61
《武术》,17,啦,230,0.60
《武术》,18,太帅,225,0.59
《武术》,19,在,214,0.56
《武术》,20,seventeen,212,0.55
"《蒙古长调：
剪耳黑骏马》",1,发来,680,4.06
"《蒙古长调：
剪耳黑骏马》",2,红色,427,2.55
"《蒙古长调：
剪耳黑骏马》",3,好,425,2.54
"《蒙古长调：
剪耳黑骏马》",4,好听,423,2.53
"《蒙古长调：
剪耳黑骏马》",5,哔哩,199,1.19
"《蒙古长调：
剪耳黑骏马》",6,大学,192,1.15
"《蒙古长调：
剪耳黑骏马》",7,永劫,187,1.12
"《蒙古长调：
剪耳黑骏马》",8,牛,187,1.12
"《蒙古长调：
剪耳黑骏马》",9,内蒙古,181,1.08
"《蒙古长调：
剪耳黑骏马》",10,厉害,175,1.05
"《蒙古长调：
剪耳黑骏马》",11,好好,170,1.02
"《蒙古长调：
剪耳黑骏马》",12,听,167,1.00
"《蒙古长调：
剪耳黑骏马》",13,有,160,0.96
"《蒙古长调：
剪耳黑骏马》",14,吃,153,0.91
"《蒙古长调：
剪耳黑骏马》",15,哇,141,0.84
"《蒙古长调：
剪耳黑骏马》",16,在,128,0.76
"《蒙古长调：
剪耳黑骏马》",17,太,112,0.67
"《蒙古长调：
剪耳黑骏马》",18,真的,99,0.59
"《蒙古长调：
剪耳黑骏马》",19,学院,99,0.59
"《蒙古长调：
剪耳黑骏马》",20,背景,96,0.57
《十二生肖闯江湖》,1,接,1518,9.08
《十二生肖闯江湖》,2,哈哈哈哈,684,4.09
《十二生肖闯江湖》,3,接接,671,4.01
《十二生肖闯江湖》,4,好,318,1.90
《十二生肖闯江湖》,5,抽象,309,1.85
《十二生肖闯江湖》,6,厉害,203,1.21
《十二生肖闯江湖》,7,太,155,0.93
《十二生肖闯江湖》,8,哇,152,0.91
《十二生肖闯江湖》,9,笑,140,0.84
《十二生肖闯江湖》,10,啊啊啊,133,0.80
《十二生肖闯江湖》,11,牛,127,0.76
《十二生肖闯江湖》,12,也,123,0.74
《十二生肖闯江湖》,13,发来,123,0.74
《十二生肖闯江湖》,14,有,120,0.72
《十二生肖闯江湖》,15,好评,111,0.66
《十二生肖闯江湖》,16,魔法,110,0.66
《十二生肖闯江湖》,17,不是,108,0.65
《十二生肖闯江湖》,18,哇哇,105,0.63
《十二生肖闯江湖》,19,口技,94,0.56
《十二生肖闯江湖》,20,黑曼巴,86,0.51
"《中国人不蹦洋迪》
《乐器串烧》",1,灯节,1277,3.33
"《中国人不蹦洋迪》
《乐器串烧》",2,海,1268,3.31
"《中国人不蹦洋迪》
《乐器串烧》",3,快乐,1250,3.26
"《中国人不蹦洋迪》
《乐器串烧》",4,好,777,2.03
"《中国人不蹦洋迪》
《乐器串烧》",5,啊啊啊,529,1.38
"《中国人不蹦洋迪》
《乐器串烧》",6,报道,526,1.37
"《中国人不蹦洋迪》
《乐器串烧》",7,好听,446,1.16
"《中国人不蹦洋迪》
《乐器串烧》",8,哈哈哈哈,428,1.12
"《中国人不蹦洋迪》
《乐器串烧》",9,厉害,340,0.89
"《中国人不蹦洋迪》
《乐器串烧》",10,发来,316,0.83
"《中国人不蹦洋迪》
《乐器串烧》",11,也,282,0.74
"《中国人不蹦洋迪》
《乐器串烧》",12,牛,258,0.67
"《中国人不蹦洋迪》
《乐器串烧》",13,有,234,0.61
"《中国人不蹦洋迪》
《乐器串烧》",14,都,224,0.58
"《中国人不蹦洋迪》
《乐器串烧》",15,哇,218,0.57
"《中国人不蹦洋迪》
《乐器串烧》",16,明月,209,0.55
"《中国人不蹦洋迪》
《乐器串烧》",17,起风,203,0.53
"《中国人不蹦洋迪》
《乐器串烧》",18,饭,198,0.52
"《中国人不蹦洋迪》
《乐器串烧》",19,寄,197,0.51
"《中国人不蹦洋迪》
《乐器串烧》",20,斯莱特,194,0.51
《寄明月》,1,好,270,2.56
《寄明月》,2,寄,197,1.87
《寄明月》,3,明月,197,1.87
《寄明月》,4,饭,194,1.84
《寄明月》,5,啊啊啊,142,1.34
《寄明月》,6,发来,132,1.25
《寄明月》,7,好看,117,1.11
《寄明月》,8,川大,92,0.87
《寄明月》,9,MC,90,0.85
《寄明月》,10,也,85,0.80
《寄明月》,11,有,81,0.77
《寄明月》,12,偷,76,0.72
《寄明月》,13,都,71,0.67
《寄明月》,14,mc,69,0.65
《寄明月》,15,外卖,64,0.61
《寄明月》,16,大学,62,0.59
《寄明月》,17,哈哈哈哈,61,0.58
《寄明月》,18,哇,61,0.58
《寄明月》,19,啦,60,0.57
《寄明月》,20,被,59,0.56
